On The Road Again|Canned Heat
I've Had It|Fanny
Nuthin' But A G Thang|Dr. Dre
If I Say Yes|Five Star
Crossroads|Tracy Chapman
My Block|The Four Pennies
Caroline  No|Brian Wilson
There But For Fortune|Joan Baez
Take This Hurt Off Me|Don Covay
Money Runner|Quincy Jones
Let Me Serenade You|Three Dog Night
I Wish I Knew (How It Would Feel To Be Free)|Solomon Burke
Let This Be A Letter (To My Baby)|Jackie Wilson
Need You Bad|Ted Nugent
What You Get Is What You See|Tina Turner
S.Y.S.L.J.F.M. (The Letter Song)|Joe Tex
Living In A Fantasy|Leo Sayer
Alright In The City|Dunn & McCashen
Banjo Boy|Art Mooney And His Orchestra
One For The Mockingbird|Cutting Crew
Not One Minute More|Della Reese
Shinin' On|Grand Funk
I'm Gonna Do All I Can (To Do Right By My Man)|Ike & Tina Turner
Al's Place|Al (He's the King) Hirt
The Blizzard|Jim Reeves
Don't Wanna Live Inside Myself|Bee Gees
You Waited Too Long|The Five Stairsteps
In The Dark|Billy Squier
Heat Of The Night|Bryan Adams
It's In Your Eyes|Phil Collins
Danny Boy|Sil Austin
Little Sheila|Slade
Cowboy Boots|Dave Dudley
Ritzy Mambo|The Salsoul Orchestra
Still|John Schneider
Sweetest One|The Metros
Until It's Time For You To Go|The New Birth
Rambling|The Ramblers
And You And I (Part II)|Yes
I Hear You Knocking|Dave Edmunds
In The Summer Of His Years|Connie Francis
Tip Toe|Robert Parker
Looking Over My Shoulder|'Til Tuesday
Breaking Up Is Hard To Do|The Happenings
Such A Sweet Thing|Mary Wells
Regular Thang|Ovis
Ciao  Ciao Bambina|Jacky Noguez And His Musette Orchestra
Two Wrongs Don't Make A Right|Mary Wells
We|Shawn Phillips
A Voice In The Choir|Al Martino
Sunny|Neil Sedaka
Sugar Town|Nancy Sinatra
Sadie|The Spinners
Girl Come Running|The 4 Seasons Featuring the Sound of Frankie Valli
The Young Folks|Diana Ross & The Supremes
Keeper Of The Castle|Four Tops
I Wanna Be With You|Nancy Wilson
Sneakin' Up Behind You|The Brecker Brothers
Do You Love Me|The Dave Clark Five
Every Time You Touch Me (I Get High)|Charlie Rich
I Wanna Be Loved|Dean And Jean
No Guns  No Murder|Rayvon
Party Line|Andrea True Connection
Turn To Stone|Joe Walsh
That's The Tune|The Vogues
All Nite|Entouch Featuring Keith Sweat
Memphis Train|Buddy Miles Express
Heavenly Lover|Teresa Brewer
Cry|Lynn Anderson
One Last Time|Glen Campbell
Take Me To The River|Talking Heads
Train Called Freedom|South Shore Commission
A Simple Game|Four Tops
I Found A New Baby|Bobby Darin
You Can't Get What You Want|Joe Jackson
Winkin'  Blinkin' And Nod|The Simon Sisters
Feelin' So Good (S.k.o.o.b.y-D.o.o)|The Archies
In My Nature|Nuttin' Nyce
500 Miles|Hooters
The Boogaloo Party|The Flamingos
Woman  Woman|The Union Gap Featuring Gary Puckett
Check Yourself|I.A.P. Co. (the Italian Asphalt & Pavement Company)
Change Of Heart|Cyndi Lauper
Don't Ever Leave Me|Connie Francis
Theme Music For The Film 2001 A Space Odyssey from Also Sprach Zarathustr|Berlin Philharmonic
Whispering|Nino Tempo & April Stevens
You Can't Hurt Me No More|Gene Chandler
Rain Dance|The Guess Who
Today I Started Loving You Again|Bettye Swann
All I Know|Garfunkel
Help!|The Beatles
Beachcomber|Bobby Darin
The Moment Of Truth|Survivor
Rip Van Winkle|The Devotions
Rock With You|Inner Circle
Discipline Of Love|Robert Palmer
Learning To Fly|Tom Petty And The Heartbreakers
I'll Get By (As Long As I Have You)|Billy Williams
Whatever Happened To Benny Santini?|Chris Rea
Wonderful|Isaac Hayes
Grim Reaper Of Love|The Turtles
Twelve Thirty (Young Girls Are Coming To The Canyon)|The Mamas & The Papas
In The Mood|Robert Plant
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)|The Star Wars Intergalactic Droid Choir & Chorale
Sweet Music Man|Kenny Rogers
Happy|Hog Heaven
Don't Make A Fool Of Yourself|Stacey Q
Hang 'Em High|Sadat X
How Can I Tell Her|Lobo
Cheeseburger In Paradise|Jimmy Buffett
Mother|John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Beautiful Girls|Van Halen
Going Nowhere|Los Bravos
Have A Good Time|Sue Thompson
Movin' On|Bad Company
Frankie And Johnny|Sam Cooke
Second Honeymoon|Johnny Cash
Up All Night|Slaughter
Bumble Boogie|B. Bumble & The Stingers
I Can't Turn You Loose|Edgar Winter's White Trash
Pied Piper|The Changin' Times
From Me To You|The Beatles
I Can't Stand It|Eric Clapton And His Band
Immigration Man|Graham Nash & David Crosby
For He's A Jolly Good Fellow|Bobby Vinton
Singing My Song|Tammy Wynette
Homies|Lighter Shade Of Brown
She Loves To Be In Love|Charlie
Hot Spot|Foxy Brown
I Don't Know What It Is|The Bluenotes
Black Night|Deep Purple
Guaglione|Perez Prado And His Orchestra
Pouring Water On A Drowning Man|James Carr
Lies|En Vogue
(I've Had) The Time Of My Life|Bill Medley & Jennifer Warnes
Cinderella|Firefall
Run  Run  Run|The Supremes
The Last Time|The Rolling Stones
Too Late|Shoes
Not On The Outside|The Moments
Petticoat White (Summer Sky Blue)|Bobby Vinton
Tuck Me In|Kimberly Scott
Wade In The Water|Herb Alpert & The Tijuana Brass
Never Say Die (Give A Little Bit More)|Cliff Richard
Where Do We Go From Here (From Eraser)|Vanessa Williams
I'll Be|Edwin McCain
Lucky Love|Ace Of Base
La Isla Bonita|Madonna
Faces Of Love|Nia Peeples
Disco Duck (Part I)|Rick Dees & His Cast Of Idiots
Teardrops In My Heart|Joe Barry
It's Got The Whole World Shakin'|Sam Cooke
Forever In Blue Jeans|Neil Diamond
You  No One But You|Frankie Laine
Walkin' My Cat Named Dog|Norma Tanega
It's Uncanny|Daryl Hall John Oates
Our Everlasting Love|Ruby And The Romantics
Sophisticated Cissy|The Meters
1-2-3|The Chimes
Not Too Young To Get Married|Bob B. Soxx And The Blue Jeans
Addams Family (Whoomp!)|Tag Team
Let's Go  Let's Go  Let's Go|Hank Ballard And The Midnighters
My Brave Face|Paul McCartney
Cleopatra's Cat|Spin Doctors
Something You Got|Alvin Robinson
It's Alright|Graham Central Station
I Would Die 4 U|Prince And The Revolution
The Matador|Major Lance
A Lover's Concerto|Sarah Vaughan
Newsy Neighbors|First Choice
I Never Knew Love|Doug Stone
Going Through The Motions|Hot Chocolate
Son Of Sagittarius|Eddie Kendricks
Love And Understanding (Come Together)|Kool & The Gang
U Got The Look|Prince
Eternity|Vikki Carr
Free The People|Delaney & Bonnie & Friends
Pride And Joy|Marvin Gaye
Summer Side Of Life|Gordon Lightfoot
You Are In My System|Robert Palmer
The Children's Marching Song (Nick Nack Taddy Whack)|Cyril Stapleton And His Orchestra
Desiderata|Les Crane
Gonna Get Along Without You Now|Skeeter Davis
Don't Stop The Wedding|Ann Cole
See What Love Can Do|Eric Clapton
Gold Diggin' Girls|MC Nas-D & DJ Fred
You Met Your Match|Stevie Wonder
I Fell In Love|Rockell
God Bless Whoever Sent You|The Originals
Carol|Tommy Roe
Whoever Finds This  I Love You|Mac Davis
Might Just Take Your Life|Deep Purple
Swingtown|The Steve Miller Band
Mighty Quinn (Quinn The Eskimo)|Manfred Mann
Islands In The Stream|Kenny Rogers Duet With Dolly Parton
Apple Of My Eye|Roy Head And The Traits
Orange Blossom Special|Johnny Cash
Kings And Queens|Aerosmith
If It's Alright With You|Rose Colored Glass
A Girl Like You|Gary Stites
Let's Get It On|Marvin Gaye
Where The Streets Have No Name|U2
Yah Mo B There|James Ingram With Michael McDonald
(For God's Sake) Give More Power To The People|The Chi-lites
Mediterranean Moon|The Rays
Fresh As A Daisy|Emitt Rhodes
Auld Lang Syne|Kenny G
Long Time|Boston
Sweet Sexy Thing|Nu Flavor Featuring Roger
Tomorrow (A Better You  Better Me)|Quincy Jones With Tevin Campbell
For Your Love|The Yardbirds
Jimmy Loves Maryann|Josie Cotton
Let A Woman Be A Woman - Let A Man Be A Man|Dyke And The Blazers
Baby  Don't Be Looking In My Mind|Joe Simon
Pretty In Pink|Psychedelic Furs
This Is The Way That I Feel|Marie Osmond
Heartaches|The Marcels
Hands|Jewel
Gudbuy T' Jane|Slade
I'm Still A Struggling Man|Edwin Starr
Stop To Start|Blue Magic
You Spin Me Round (Like A Record)|Dead Or Alive
Masquerade|Berlin
Rock The Night|Europe
Graduation Day|The Arbors
All You Get From Love Is A Love Song|Carpenters
Something Good (Is Going To Happen To You)|Carla Thomas
You Always Hurt The One You Love|Clarence Henry
Like To Get To Know You|Spanky And Our Gang
Honey Honey|Sweet Dreams
You You You|Mel Carter
Reach Out For Me|Dionne Warwick
Happy And Me|Don And The Goodtimes
Sweet Sensual Love|Big Mountain
Gone|Joey Heatherton
Lalena|Donovan
Thank God I Found You|Mariah Carey Featuring Joe & 98 Degrees
Let Yourself Go|Elvis Presley With The Jordanaires
Footstompin' Music|Grand Funk Railroad
Velvet Waters|The Megatrons
Highway To Hell|AC/DC
Right And Hype|Abstrac'
Try Me|James Brown At The Organ
Lies|The Knickerbockers
Where Have You Been All My Life|Fotomaker
Bad Boy|Miami Sound Machine
Long Cool Woman (In A Black Dress)|The Hollies
Let's Go|Floyd Cramer
Paperlate|Genesis
Need Your Loving Tonight|Queen
Word Of Mouth|Mike + The Mechanics
Where The Boys Are|Connie Francis
New York Mining Disaster 1941 (Have You Seen My Wife  Mr. Jones)|Bee Gees
Ain't Gonna Cry No More|Brenda Lee
Take A Fool's Advice|Nat King Cole
Don't You Know How Much I Love You|Ronnie Milsap
Lead Me On|Amy Grant
I'm So Happy I Can't Stop Crying|Sting
Only Love Is Real|Carole King
Stay|The 4 Seasons
Come And Get Your Love|Roger Daltrey
Twistin' All Night Long|Danny & The Juniors with Freddy Cannon
You Let Your Heart Go Too Fast|Spin Doctors
My Pretending Days Are Over|The Dells
I Can't Work No Longer|Billy Butler & The Chanters
Goodnight My Love|The Fleetwoods
Merry Christmas In The NFL|Willis The Guard & Vigorish
Action|Freddy Cannon
Look Through My Window|The Mamas & The Papas
In A Dream|Rockell
Work That Body|Diana Ross
Wouldn't It Be Nice|The Beach Boys
She Lets Her Hair Down (Early In The Morning)|The Tokens
Friends With You|John Denver
Have You Ever Loved Somebody|The Searchers
Love|The Lettermen
Another Minute|Cause And Effect
Little Games|The Yardbirds
Cupid|112
If I Had A Rocket Launcher|Bruce Cockburn
You're My Baby (And Don't You Forget It)|The Vacels
Follow Your Heart|Triumph
Puffin' On Down The Track|Hugh Masekela
Forgive Me For Dreaming|Elisa Fiorillo
Crazay|Jesse Johnson (Featuring Sly Stone)
Love's Street And Fool's Road|Solomon Burke
Makes You Blind|The Glitter Band
Little Boy Sad|Johnny Burnette
Let Love Rule|Lenny Kravitz
Rudolph The Red Nosed Reindeer|The Melodeers
Sit Down  I Think I Love You|The Mojo Men
Cry To Me|Solomon Burke
Little Green Bag|George Baker Selection
It's Just About Time|Johnny Cash And The Tennessee Two
Our Day Will Come|Frankie Valli
Two Brothers|David Hill
Should've Been A Cowboy|Toby Keith
Op|The Honeycones
Falling In Love|New Born
Caught A Lite Sneeze|Tori Amos
Peace Will Come (According To Plan)|Melanie
Hard Lovin' Loser|Judy Collins
Many A Time|Steve Lawrence
Let Me Go  Love|Nicolette Larson & Michael McDonald
Ah! Leah!|Donnie Iris
Way Out|J.J. Fad
Sweet Lui-Louise|Ironhorse
She's Lookin' Good|Wilson Pickett
Smile|Ferrante & Teicher
What A Fool Believes|The Doobie Brothers
I've Been This Way Before|Neil Diamond
I Luv U Baby|The Original
You've Got To Hide Your Love Away|The Silkie
Who's Got Your Love|Nyasia
I Do  I Do  I Do  I Do  I Do|ABBA
Out Of Time|The Rolling Stones
Slowly|Stacy Earl
When I Get Thru With You (You'll Love Me Too)|Patsy Cline
Pushin' Inside You (From How Bout It)|Sons Of Funk
Breaking Us In Two|Joe Jackson
Adios Amigo|Jim Reeves
Evil Ways|Santana
Gotta Have You (From Jungle Fever)|Stevie Wonder
Sister James|Nino Tempo And 5th Ave. Sax
I Did It For Love|Night Ranger
Try To Remember|Ed Ames
99 Miles From L.a.|Albert Hammond
One|Bee Gees
I'll Always Love You|The Spinners
Guns For Hire|AC/DC
Blinded By Love|Rhythm Syndicate
Heart On My Sleeve|Bryan Ferry
Get It While You Can|Janis Joplin
Pop Pop Pop - Pie|The Sherrys
Little Liar|Joan Jett & the Blackhearts
Johnny Cool|The Steve Gibbons Band
Goodnight Saigon|Billy Joel
I May Not Live To See Tomorrow|Brian Hyland
Music Sounds Better With You|Stardust
Second Nature|Dan Hartman
Rock Me Tonite|Billy Squier
Mio Amore|The Flamingos
Harvey's Got A Girl Friend|Royal Teens
Everybody Knows (I Still Love You)|The Dave Clark Five
Love On Your Side|Thompson Twins
Wonderful Baby|Don McLean
Mr. Songwriter|Connie Stevens
No If's - No And's|Lloyd Price and His Orchestra
The Payback - Part I|James Brown
Pick Up The Pieces|Carla Thomas
Ride Away|Roy Orbison
Like Young|Andre Previn With David Rose
I Want Her|Keith Sweat
Oliver Twist|Rod McKuen
Don't Be Cruel|Barbara Lynn
Cara-Lin|The Strangeloves
Apache|Sugarhill Gang
We Were Always Sweethearts|Boz Scaggs
Love Me Good|Michael W. Smith
It Hurts Me|Bobby Goldsboro
Warrior's Drum|King Just
City Lights|Debbie Reynolds
Little Turtle Dove|Otis Williams And His Charms
Almost Persuaded No. 2|Ben Colder
Way Cool Jr.|Ratt
(Theme From) Goodbye Again|Ferrante & Teicher
Somebody's Sleeping In My Bed|Johnnie Taylor
Dur Dur D'etre BeBe! (It's Tough To Be A Baby)|Jordy
Time Will Tell|Tower Of Power
Ready For The Times To Get Better|Crystal Gayle
Baby's First Christmas|Connie Francis
Kid Charlemagne|Steely Dan
Lonely Ol' Night|John Mellencamp
Well-A  Well-A|Shirley & Lee
Funky Broadway|Wilson Pickett
You Mean Everything To Me|The Fleetwoods
Here It Comes|MC Serch
Haven't Got Time For The Pain|Carly Simon
Leaving L.A.|Deliverance
I Don't Want To See Tomorrow|Nat King Cole
So Wrong|Patsy Cline
Topsy I|Cozy Cole
To Get To You|Jerry Wallace
I Got A Thing  You Got A Thing  Everybody's Got A Thing|Funkadelic
Whatuon|LaTanya Featuring Twista
Why Can't You Come Home|Ex-Girlfriend
Whisper To A Scream (Birds Fly)|Icicle Works
Hey Baby|Ringo Starr
I'm Not Gonna Cry Anymore|Nancy Brooks
Guilty|Jim Reeves
Freddie's Dead (Theme From Superfly)|Curtis Mayfield
When I Think Of You|Leif Garrett
This Time|Bryan Adams
Take It While It's Hot|Sweet Sensation
Mandrill|Mandrill
Sharing You|Bobby Vee
Sunday Morning|Earth  Wind & Fire
Colours|Donovan
What Kind Of Fool Am I|Sammy Davis Jr.
Can't Get Over (The Bossa Nova)|Eydie Gorme
I Only Want To Be With You|Dusty Springfield
Sincerely|Paul Anka
Hurricane|The Click
Seven Years|The Impressions
Time Is On My Side|The Rolling Stones
The Beat Goes On|Sonny & Cher
Can't Get Enough|Patty Loveless
The Little White Cloud That Cried|Wayne Newton
Hold Me|P.J. Proby
Time Is Time|Andy Gibb
Fly Like An Eagle (From Space Jam)|Seal
Let Me|Paul Revere & The Raiders Featuring Mark Lindsay
Meet El Presidente|Duran Duran
Living In A House Divided|Cher
All Lips N' Hips|Electric Boys
Starry Eyed|Gary Stites
Time Won't Let Me|The Outsiders
Child Of Clay|Jimmie Rodgers
I Am A Witness|Tommy Hunt
Beautiful Girl|INXS
Part Time Love|Kerry Chater
Sugar On Sunday|The Clique
Ambrose (Part Five)|Linda Laurie
Rumbleseat|John Mellencamp
Get That Gasoline Blues|NRBQ
Going To Chicago Blues|Count Basie & His Orch.
What's Too Much|Smokey Robinson
Feelings|Walter Jackson
People Get Ready|The Impressions
Stranger In Moscow|Michael Jackson
Up -- Up And Away|The 5th Dimension
No Place That Far|Sara Evans
Invincible (Theme From The Legend Of Billie Jean)|Pat Benatar
There'll Be Sad Songs (To Make You Cry)|Billy Ocean
Calling Occupants Of Interplanetary Craft|Carpenters
Do-Wah-Diddy|The Exciters
There Goes (My Heart Again)|Fats Domino
United Together|Aretha Franklin
Mother Freedom|Bread
I Can't Tell You Why|Brownstone
Lo Mucho Que Te Quiero (The More I Love You)|Rene & Rene
Who Do Ya Love|KC And The Sunshine Band
Can't Fight This Feeling|REO Speedwagon
Kiss An Angel Good Mornin'|Charley Pride
Good Time Tonight|The Soul Sisters
Summer Wind|Frank Sinatra
I Lied To My Heart|The Enchanters
I'm Not In Love|Will To Power
I Dig Everything About You|The Mob
Get Up On It|Keith Sweat (Featuring Kut Klose)
When The Lady Smiles|Golden Earring
Rain On The Roof|The Lovin' Spoonful
Lonely Days|Bee Gees
If You Love Me|LaVern Baker
77 Sunset Strip|The Big Sound Of Don Ralke
Playground|Another Bad Creation
The Twist|Hank Ballard And The Midnighters
Something's On Her Mind|The 4 Seasons
This Is For The Lover In You|Babyface Featuring LL Cool J  Howard Hewett  Jody Watley & Jeffrey Daniels
On The Wrong Track|Kevin Lamb
Private Eye|The Olympics
Ten Lonely Guys|Pat Boone
Baker Street|Gerry Rafferty
The Eggplant That Ate Chicago|Dr. West's Medicine Show and Junk Band
Nevertheless/Louisiana Lou And Three Card Monty John|The Allman Brothers Band
Do You Believe In Love|Huey Lewis & The News
It Tears Me Up|Percy Sledge
Leave A Tender Moment Alone|Billy Joel
Do The Freddie|Freddie And The Dreamers
Heavy|Collective Soul
Who's Making Love|Blues Brothers
Strawberry|Nicole Renee
Baby Talk|Alisha
How Much Is That Doggie In The Window|Baby Jane & The Rockabyes
I Was Born To Love You|Freddie Mercury
How Is Julie?|The Lettermen
Takin' It Back|Breathless
Does She Love That Man?|Breathe Featuring David Glasper
El Matador|The Kingston Trio
Cannonball|Duane Eddy His Twangy Guitar And The Rebels
Just Be Sincere|Jackie Wilson
Who Can I Count On|Patsy Cline
Still A G Thang|Snoop Dogg
After Midnight|Maggie Bell
(Loneliness Made Me Realize) It's You That I Need|The Temptations
Only Those In Love|Baby Washington
I Saw It Cummin'|PMD
Do The Funky Penguin Part I|Rufus Thomas
That Acapulco Gold|The Rainy Daze
Puppy Love|Donny Osmond
I'm A Fool To Care|Joe Barry
Thou Shalt Not Steal|John D. Loudermilk
Lazy Lady|Fats Domino
Double Lovin'|The Osmonds
Holy Man|Diane Kolby
Let's Groove|Earth  Wind & Fire
The Happening|Herb Alpert & The Tijuana Brass
You Can't Dance|England Dan & John Ford Coley
Love's About to Change My Heart|Donna Summer
Show Time|Detroit Emeralds
Stay Away|Elvis Presley With The Jordanaires
I Got The Feelin'|James Brown And The Famous Flames
Gravity|James Brown
Your Precious Love|Marvin Gaye & Tammi Terrell
I'm Real|Kris Kross
Rock You Like A Hurricane|Scorpions
La Paloma Twist|Chubby Checker
You Brought The Joy|Freda Payne
Your Love Keeps Working On Me|Jody Watley
Hello Mudduh  Hello Fadduh! (A Letter From Camp) (New 1964 Version)|Allan Sherman
The Wizard|Jimmie Rodgers
I Want Candy|Bow Wow Wow
Under Pressure|Queen & David Bowie
Swingin' Tight|Bill Deal & The Rhondels
I Wanna Be Where You Are|Michael Jackson
Heaven|Warrant
Up-Up And Away|The Johnny Mann Singers
Burning Down The House|Talking Heads
Maria|TKA
Get Down Tonight|KC And The Sunshine Band
The Nitty Gritty|Gladys Knight And The Pips
History Repeats Itself|Buddy Starcher
Bumble Bee|The Searchers
Birds Of A Feather|Joe South
Colors|Ice-T
The Sound Of My Tears|Deborah Cox
One Man's Leftovers (Is Another Man's Feast)|100 Proof Aged in Soul
Just Can't Wait|The J. Geils Band
The One On The Right Is On The Left|Johnny Cash
Gypsy Woman|The Impressions
Happy Hour|Deodato
Traces|Classics IV Featuring Dennis Yost
(You Better) Know What You're Doin'|Lloyd Price and His Orchestra
Magic Woman Touch|The Hollies
Daysleeper|R.E.M.
We All Gotta Stick Together|Four Tops
I Call Your Name|Switch
This Door Swings Both Ways|Herman's Hermits
For You And I|10cc
Lady Willpower|Gary Puckett And The Union Gap
Love's Only Love|Engelbert
I Miss You|N2U
I'll Be Gone|Pozo Seco Singers
All Things Considered|Yankee Grey
Back Stabbers|The O'Jays
Little Good-Byes|SHeDAISY
Smuggler's Blues|Glenn Frey
It's Wonderful|The Young Rascals
You Are She|Chad & Jeremy
Get The Cream Off The Top|Eddie Kendricks
Rock Steady|Aretha Franklin
Joe Joe Gunne|Chuck Berry
Love Me Forever Or Love Me Not|Trilogy
It's Your Song|Garth Brooks
You're In Love|Ratt
You Could Take My Heart Away|Silver Condor
I'm Through With Love|Eric Carmen
I Remember|Boyz II Men
I've Got You Under My Skin|Louis Prima And Keely Smith
Don't Pat Me On The Back And Call Me Brother|John W. Anderson presents KaSandra
True Blue Lou|Tony Bennett
Baby I'm Hooked|ConFunkShun
We Don't Need Another Hero (Thunderdome)|Tina Turner
The Free Electric Band|Albert Hammond
I Want You Back|'N Sync
Summertime  Summertime|Nocera
Organ Shout|Dave Baby Cortez
I Still Love You|The Vejtables
Deep Purple|Nino Tempo & April Stevens
Calling America|Electric Light Orchestra
Who Can I Turn To (When Nobody Needs Me)|Tony Bennett
Memories|Tierra
Belle|Al Green
(I Can Feel Your Love) Slipping Away|Barbara Mason
Somebody Somewhere|Platinum Blonde
Strawberry Letter 23|The Brothers Johnson
Proud Mary|Solomon Burke
Energy Crisis '74|Dickie Goodman
Sweet Sensation|Stephanie Mills
Hanky Panky|Madonna
Situation|Yaz
